Colonna,Tipo,Pattern,NonNull_Count,Esempi
AI_Latitudine,float64,lat,4226,"[45.1503481, 45.150455474853516, 45.150455474853516]"
AI_Longitudine,float64,lon,4226,"[10.7645318, 10.770710945129395, 10.770710945129395]"
AI_Posizione,object,posizione,4226,"['POINT (10.7645318 45.1503481)', 'POINT (10.7707 45.1505)', 'POINT (10.7707 45.1505)']"
AI_SuperficieCalcolata,float64,lat,4223,"[18.0, 21.0, 60.0]"
ISC_Geometry,object,geometry,4226,"['MULTIPOLYGON (((10.767331549979215 45.151153242654068, 10.767278350264982 45.151120279138489, 10.768231265055366 45.15045713505377, 10.767949033986898 45.150013326046675, 10.767779607274267 45.149746903750028, 10.767617953538377 45.149513563646423, 10.767410930412813 45.149289109984373, 10.767320160593517 45.149204735997863, 10.767255346043553 45.149157660238892, 10.766737374722343 45.148816720862946, 10.765421045063169 45.1501418391579, 10.765673537018859 45.150292734339537, 10.766100080338211 45.150003936374716, 10.766413521102352 45.150199969551174, 10.766133577717902 45.150429017958508, 10.766644258622842 45.150757411898212, 10.765944490022351 45.151256392696048, 10.765190931822923 45.150833632340479, 10.765510469581752 45.150556142546783, 10.764908238420714 45.150222134718256, 10.763999037152857 45.149702933523145, 10.763127838134142 45.149232472055893, 10.763428037388401 45.148991433912, 10.763577236845293 45.148982634683222, 10.763711037757762 45.149043034310239, 10.763764137274153 45.149148833860188, 10.76375163687346 45.149205134606476, 10.763655437738542 45.149294434095189, 10.764143674554632 45.149583544261361, 10.764307536337521 45.149466288205836, 10.764207652098202 45.149409648221472, 10.764802252084248 45.148897547982905, 10.765698362584825 45.148179750589804, 10.765328246356113 45.147928695592086, 10.765133488470157 45.147767705487212, 10.764967746229084 45.14760733591163, 10.764681832070215 45.147271922843082, 10.764583307238832 45.147100614578058, 10.76449036839934 45.146938286417942, 10.764355672488533 45.1467438795489, 10.763340947189192 45.145565836172146, 10.76311680211678 45.145295041652254, 10.762146435293847 45.14607274456511, 10.761971821810944 45.146231881936615, 10.761462650324205 45.146620246233866, 10.76100099281595 45.146972378052588, 10.761753171760368 45.147387618074305, 10.761507128563025 45.147620626687143, 10.761379549771865 45.147734965971459, 10.762111082133616 45.148174646679664, 10.761618430043981 45.1486122902938, 10.761508443898711 45.148693610948996, 10.760547386026319 45.149628215285425, 10.760858012203135 45.149764819357422, 10.761065683528139 45.149849912279215, 10.761431230230079 45.149999921859, 10.76312106740439 45.150695496957368, 10.763176163631341 45.150695092610981, 10.763242849368693 45.150699568214584, 10.76334551365937 45.15072302001839, 10.763436062234879 45.150760369356107, 10.763538893296138 45.150824644741654, 10.7635872835474 45.150884754217628, 10.765340155332515 45.151603488653791, 10.765989394452054 45.151876826502715, 10.76617748782826 45.151956044947831, 10.767076598320301 45.151063708841086, 10.767331549979215 45.151153242654068)))', 'MULTIPOLYGON (((10.771865220043798 45.151378512230337, 10.771339064021802 45.150416386289166, 10.772388467179798 45.150137931305444, 10.772086530105451 45.149499685589255, 10.7717823415102 45.149641732023483, 10.770975732745264 45.1500724701488, 10.770403564888998 45.150387205502071, 10.770915356218133 45.151347068695586, 10.771002776307544 45.151499647254994, 10.771086467020327 45.151581438385847, 10.771865220043798 45.151378512230337)))', 'MULTIPOLYGON (((10.771865220043798 45.151378512230337, 10.771339064021802 45.150416386289166, 10.772388467179798 45.150137931305444, 10.772086530105451 45.149499685589255, 10.7717823415102 45.149641732023483, 10.770975732745264 45.1500724701488, 10.770403564888998 45.150387205502071, 10.770915356218133 45.151347068695586, 10.771002776307544 45.151499647254994, 10.771086467020327 45.151581438385847, 10.771865220043798 45.151378512230337)))']"
ISC_ShapeLeng,float64,shape,4226,"[3178.32180066, 651.399531498, 651.399531498]"
ISC_ShapeArea,float64,shape,4226,"[177693.4543, 16052.9653428, 16052.9653428]"
OV_ValoreMercatoMax_normale,float64,x_,4226,"[950.0, 1000.0, 900.0]"
OV_ValoreMercatoMax_ottimo,float64,x_,1425,"[1500.0, 3000.0, 3000.0]"
OV_ValoreMercatoMax_scadente,float64,x_,305,"[750.0, 750.0, 750.0]"
OV_ValoreLocazioneMax_normale,float64,x_,4226,"[4.5, 5.2, 5.5]"
OV_ValoreLocazioneMax_ottimo,float64,x_,1425,"[6.5, 10.5, 10.5]"
PC_PoligonoGeoJson,object,geojson,4226,"['{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""geometry"": {""crs"": {""type"": ""name"", ""properties"": {""name"": ""EPSG:6706""}}, ""type"": ""Polygon"", ""coordinates"": [[[10.76391586, 45.15067663], [10.76388413, 45.15065865], [10.76393121, 45.15061631], [10.76392928, 45.1506152], [10.76400429, 45.1505477], [10.76400624, 45.1505488], [10.76405101, 45.15050879], [10.76404906, 45.1505077], [10.76419397, 45.15038099], [10.76419591, 45.15038208], [10.76424129, 45.15034245], [10.76423935, 45.15034136], [10.76431554, 45.15027454], [10.76431747, 45.15027564], [10.76436521, 45.15023363], [10.76442618, 45.15026817], [10.76442772, 45.1502668], [10.76451385, 45.15031555], [10.76458275, 45.1502547], [10.76458471, 45.15025579], [10.76463348, 45.15021266], [10.76469297, 45.15024636], [10.76469451, 45.15024499], [10.76478916, 45.15029872], [10.7647876, 45.15030009], [10.76484308, 45.15033173], [10.76484461, 45.15033037], [10.76502441, 45.1504341], [10.76502288, 45.15043547], [10.765079, 45.15046664], [10.76508052, 45.15046528], [10.76517636, 45.15051791], [10.76517484, 45.15051927], [10.76523447, 45.1505527], [10.76518256, 45.15059841], [10.76516292, 45.15058733], [10.76509524, 45.15064688], [10.76511489, 45.15065799], [10.76506279, 45.15070385], [10.76499817, 45.15066727], [10.76501397, 45.15065335], [10.76498382, 45.15063632], [10.76495921, 45.15062358], [10.76492983, 45.15060585], [10.76491408, 45.15061975], [10.76484944, 45.15058315], [10.76490112, 45.1505375], [10.7649208, 45.15054862], [10.76498765, 45.15048959], [10.76496796, 45.15047849], [10.76491954, 45.15045018], [10.76490538, 45.15046269], [10.76489553, 45.150457], [10.76484036, 45.15042515], [10.76483053, 45.15041946], [10.76484471, 45.15040693], [10.76477657, 45.15036876], [10.76470943, 45.15042824], [10.76472819, 45.15043886], [10.76467628, 45.15048473], [10.76461156, 45.15044808], [10.76462733, 45.15043417], [10.7645971, 45.15041711], [10.76454299, 45.15038657], [10.76452721, 45.15040049], [10.76450749, 45.15038935], [10.76446412, 45.15042747], [10.76443986, 45.15044878], [10.76445959, 45.15045993], [10.76440763, 45.15050566], [10.76434257, 45.15046883], [10.76435837, 45.15045498], [10.76427393, 45.15040716], [10.76418762, 45.15048186], [10.76410289, 45.15055734], [10.76418779, 45.15060544], [10.76420347, 45.15059149], [10.76426874, 45.15062846], [10.76421702, 45.15067431], [10.76419724, 45.15066312], [10.76417447, 45.15068371], [10.76415518, 45.15070052], [10.76413054, 45.15072271], [10.76414983, 45.15073399], [10.76410041, 45.15077788], [10.76406645, 45.15076191], [10.7640649, 45.15076328], [10.76402492, 45.15074064], [10.76397253, 45.15071143], [10.76391433, 45.15067799], [10.76391586, 45.15067663]]]}, ""properties"": {""areaMq"": 1919.8093894280494, ""foglio"": ""0048"", ""sezione"": ""_"", ""particella"": ""305"", ""perimetroM"": 403.5924160396211, ""codiceCatastale"": ""E897""}}]}', '{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""geometry"": {""crs"": {""type"": ""name"", ""properties"": {""name"": ""EPSG:6706""}}, ""type"": ""Polygon"", ""coordinates"": [[[10.77076187, 45.15082203], [10.77051504, 45.15040232], [10.77110649, 45.15009289], [10.77110998, 45.15010329], [10.77111879, 45.15011386], [10.77113634, 45.15012533], [10.77114593, 45.15012888], [10.77115551, 45.15013002], [10.77117226, 45.15012812], [10.77120701, 45.15011813], [10.77118595, 45.15008144], [10.77118356, 45.15007728], [10.77117194, 45.15006897], [10.77116295, 45.15006767], [10.77115429, 45.15006812], [10.77117875, 45.15005508], [10.77123015, 45.1500249], [10.77131353, 45.15015765], [10.77136157, 45.1501468], [10.77136959, 45.15016318], [10.771442, 45.15031101], [10.7712942, 45.1503536], [10.7713626, 45.15046233], [10.77145691, 45.15062594], [10.77129359, 45.15067207], [10.77122128, 45.1506925], [10.77110683, 45.15072482], [10.77076187, 45.15082203]]]}, ""properties"": {""areaMq"": 3782.4966989479713, ""foglio"": ""0050"", ""sezione"": ""_"", ""particella"": ""158"", ""perimetroM"": 277.5956002188105, ""codiceCatastale"": ""E897""}}]}', '{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""geometry"": {""crs"": {""type"": ""name"", ""properties"": {""name"": ""EPSG:6706""}}, ""type"": ""Polygon"", ""coordinates"": [[[10.77076187, 45.15082203], [10.77051504, 45.15040232], [10.77110649, 45.15009289], [10.77110998, 45.15010329], [10.77111879, 45.15011386], [10.77113634, 45.15012533], [10.77114593, 45.15012888], [10.77115551, 45.15013002], [10.77117226, 45.15012812], [10.77120701, 45.15011813], [10.77118595, 45.15008144], [10.77118356, 45.15007728], [10.77117194, 45.15006897], [10.77116295, 45.15006767], [10.77115429, 45.15006812], [10.77117875, 45.15005508], [10.77123015, 45.1500249], [10.77131353, 45.15015765], [10.77136157, 45.1501468], [10.77136959, 45.15016318], [10.771442, 45.15031101], [10.7712942, 45.1503536], [10.7713626, 45.15046233], [10.77145691, 45.15062594], [10.77129359, 45.15067207], [10.77122128, 45.1506925], [10.77110683, 45.15072482], [10.77076187, 45.15082203]]]}, ""properties"": {""areaMq"": 3782.4966989479713, ""foglio"": ""0050"", ""sezione"": ""_"", ""particella"": ""158"", ""perimetroM"": 277.5956002188105, ""codiceCatastale"": ""E897""}}]}']"
POI_pharmacy_count,int64,y_,4226,"[1, 1, 1]"
POI_university_count,int64,y_,4226,"[2, 0, 0]"
AI_Posizione,object,WKT_content,4226,"['POINT (10.7645318 45.1503481)', 'POINT (10.7707 45.1505)', 'POINT (10.7707 45.1505)']"
ISC_Geometry,object,WKT_content,4226,"['MULTIPOLYGON (((10.767331549979215 45.151153242654068, 10.767278350264982 45.151120279138489, 10.768231265055366 45.15045713505377, 10.767949033986898 45.150013326046675, 10.767779607274267 45.149746903750028, 10.767617953538377 45.149513563646423, 10.767410930412813 45.149289109984373, 10.767320160593517 45.149204735997863, 10.767255346043553 45.149157660238892, 10.766737374722343 45.148816720862946, 10.765421045063169 45.1501418391579, 10.765673537018859 45.150292734339537, 10.766100080338211 45.150003936374716, 10.766413521102352 45.150199969551174, 10.766133577717902 45.150429017958508, 10.766644258622842 45.150757411898212, 10.765944490022351 45.151256392696048, 10.765190931822923 45.150833632340479, 10.765510469581752 45.150556142546783, 10.764908238420714 45.150222134718256, 10.763999037152857 45.149702933523145, 10.763127838134142 45.149232472055893, 10.763428037388401 45.148991433912, 10.763577236845293 45.148982634683222, 10.763711037757762 45.149043034310239, 10.763764137274153 45.149148833860188, 10.76375163687346 45.149205134606476, 10.763655437738542 45.149294434095189, 10.764143674554632 45.149583544261361, 10.764307536337521 45.149466288205836, 10.764207652098202 45.149409648221472, 10.764802252084248 45.148897547982905, 10.765698362584825 45.148179750589804, 10.765328246356113 45.147928695592086, 10.765133488470157 45.147767705487212, 10.764967746229084 45.14760733591163, 10.764681832070215 45.147271922843082, 10.764583307238832 45.147100614578058, 10.76449036839934 45.146938286417942, 10.764355672488533 45.1467438795489, 10.763340947189192 45.145565836172146, 10.76311680211678 45.145295041652254, 10.762146435293847 45.14607274456511, 10.761971821810944 45.146231881936615, 10.761462650324205 45.146620246233866, 10.76100099281595 45.146972378052588, 10.761753171760368 45.147387618074305, 10.761507128563025 45.147620626687143, 10.761379549771865 45.147734965971459, 10.762111082133616 45.148174646679664, 10.761618430043981 45.1486122902938, 10.761508443898711 45.148693610948996, 10.760547386026319 45.149628215285425, 10.760858012203135 45.149764819357422, 10.761065683528139 45.149849912279215, 10.761431230230079 45.149999921859, 10.76312106740439 45.150695496957368, 10.763176163631341 45.150695092610981, 10.763242849368693 45.150699568214584, 10.76334551365937 45.15072302001839, 10.763436062234879 45.150760369356107, 10.763538893296138 45.150824644741654, 10.7635872835474 45.150884754217628, 10.765340155332515 45.151603488653791, 10.765989394452054 45.151876826502715, 10.76617748782826 45.151956044947831, 10.767076598320301 45.151063708841086, 10.767331549979215 45.151153242654068)))', 'MULTIPOLYGON (((10.771865220043798 45.151378512230337, 10.771339064021802 45.150416386289166, 10.772388467179798 45.150137931305444, 10.772086530105451 45.149499685589255, 10.7717823415102 45.149641732023483, 10.770975732745264 45.1500724701488, 10.770403564888998 45.150387205502071, 10.770915356218133 45.151347068695586, 10.771002776307544 45.151499647254994, 10.771086467020327 45.151581438385847, 10.771865220043798 45.151378512230337)))', 'MULTIPOLYGON (((10.771865220043798 45.151378512230337, 10.771339064021802 45.150416386289166, 10.772388467179798 45.150137931305444, 10.772086530105451 45.149499685589255, 10.7717823415102 45.149641732023483, 10.770975732745264 45.1500724701488, 10.770403564888998 45.150387205502071, 10.770915356218133 45.151347068695586, 10.771002776307544 45.151499647254994, 10.771086467020327 45.151581438385847, 10.771865220043798 45.151378512230337)))']"
