Feature,Strategy,Target_Variance,Eta_Squared
AI_Id,Frequency,6747947000.429789,0.9999999999999989
AI_Posizione,Frequency,5461696462.537569,0.557923732413991
PC_Isodistanza,Frequency,5027634888.12513,0.5208584764081227
PC_Centroide,Frequency,5027634888.12513,0.5208584764081224
PC_PuntoInterno,Frequency,5027634888.12513,0.5208584764081224
PC_BoundingBox,Frequency,5027634888.12513,0.5208584764081224
PC_Poligono,Frequency,5027634888.12513,0.5208584764081223
PC_PoligonoMetrico,Frequency,5027634888.12513,0.5208584764081221
PC_PoligonoGeoJson,Frequency,5027634888.12513,0.5208584764081221
OV_Id_normale,Frequency,4807580072.358903,0.4375686020539476
AI_ParticellaAttuale,Frequency,5514126114.756986,0.38735809684972966
AI_Particella,Frequency,5493949063.361806,0.3872736893039271
AI_Via,Frequency,4106757188.5176125,0.35631200707677996
AI_IdCategoriaCatastale,OneHot,2522165074.6508784,0.33235778410530575
AI_IdTipologiaEdilizia,OneHot,2825405442.923897,0.3308086364034438
OV_IdTipologiaEdilizia_normale,OneHot,2107905362.026182,0.26489127978287597
AI_IdSettoreMercato,OneHot,2129863831.998261,0.26121060053221995
ISC_Geometry,Frequency,2959881980.0408425,0.24951610401186483
II_Id,Frequency,2959881980.0408425,0.24951610401186453
OV_Id_ottimo,Frequency,5042900870.553753,0.23967530655448843
OV_IdZona_ottimo,Target,5198448043.939253,0.22746910567514672
C2_IdAttoImmobile,Frequency,14170778676.71635,0.18434131087702357
C2_Y,Frequency,14657904241.015987,0.18270167177546276
C2_INDIRIZZO,Frequency,13924291149.18738,0.18055364585080425
OV_IdTipologiaEdilizia_ottimo,OneHot,466687291.49549425,0.16807386060473725
OV_ValoreLocazioneSup_ottimo,OneHot,13832794.12472277,0.16641150420734757
OV_Stato_ottimo,OneHot,,0.1661208371563258
OV_ValoreMercatoSup_ottimo,OneHot,,0.1661208371563258
AI_Piano,Frequency,27983910774.786556,0.15752820973489304
A_Codice,Frequency,4981869451.984141,0.14173811637153913
C2_PIANO,Target,71006199644.4532,0.13102101599873506
OV_IdZona_normale,Frequency,922259177.9690031,0.1309020733087616
OZ_Id,Frequency,724729585.8402545,0.11065764966209167
PC_FoglioAgenzia,Target,728175633.2054971,0.10717219657367243
AI_Foglio,Target,728175633.2054971,0.10717219657367241
C2_SUBALTERNO,Frequency,9335095172.497637,0.0855547245802214
AI_Civico,Frequency,2589046265.224725,0.08427178777073907
C2_ANNO_COSTRUZIONE,Target,20069079881.784603,0.08211794457778461
AI_ZonaOmi,OneHot,457193353.1652287,0.07294620951604146
OZ_CodiceZona,OneHot,457193353.1652287,0.07294620951604146
OZ_Zona,OneHot,457193353.1652287,0.07294620951604146
OZ_LinkZona,OneHot,457193353.1652287,0.07294620951604146
AI_IdTipologiaEdiliziaAlternativa,OneHot,,0.06591735662056791
AI_Subalterno,Frequency,4029970733.927147,0.05359739862321889
C2_RISTRUTTURAZIONE_IMPORTANTE,OneHot,86635674179.36954,0.047659393398917636
C1_IdAttoImmobile,Frequency,8575361684.533362,0.04624872457797176
C1_CODICE_IDENTIFICATIVO_PRATICA,Frequency,8977006255.931694,0.04610576702768822
C2_FOGLIO,Target,1640658984.0415685,0.04543915111939237
C1_INDIRIZZO,Frequency,6281586805.828362,0.044767355857197134
C1_PARTICELLA,Frequency,6775335100.395063,0.04470293137264924
C1_SUBALTERNO,Frequency,11998028210.8698,0.041988594217675985
C1_POTENZA_GENERATORE,Frequency,9215466533.097961,0.03934462164178066
C2_NM_EP_GL_NREN_RAGGIUNG_7,Frequency,4760149108.484098,0.03437059495880712
C2_CLASSE_ENERGETICA,OneHot,5950617595.443208,0.033711527937250754
C2_PI,OneHot,12483821411.488737,0.03166536908409071
C2_INTERO_EDIFICIO,OneHot,25216841831.7153,0.031060495578863066
C2_UNITA_IMMOBILIARE,OneHot,25216841831.7153,0.031060495578863066
C1_ANNO_COSTRUZIONE,Target,15141923543.156898,0.030093007732289734
C2_FL_COMPORTA_RISTRUT_6,OneHot,,0.029542232486215066
C2_DS_TIPO_INTERVENTO_6,OneHot,,0.029542232486215066
C2_PA_TIPO_IMPIANTO,OneHot,3606241120.475174,0.02815233693606029
A_IdDecodificaAtto,OneHot,488811533.4902566,0.026819337241395777
A_IdTipologiaAtto,OneHot,646893572.9741035,0.02657106161501452
C2_VENTILAZIONE_MECCANICA,OneHot,11517225647.757465,0.02404203991536516
C2_PASSAGGIO_PROPRIETA,OneHot,2720555698.5595565,0.023005216634434337
C2_TITOLO_CERT,OneHot,1752436081.2948513,0.022634963647557946
C2_NUOVA_COSTRUZIONE,OneHot,24834704022.16066,0.021468401486544886
C1_FOGLIO,Target,3339947008.736653,0.02145274562175639
C2_PA_VETTORE_ENERGETICO,OneHot,1380773796.1462517,0.021190752068868113
C2_ORDINE_CERT,OneHot,2871994698.102965,0.02116668312101429
C1_TIPOLOGIA_GENERATORE,Target,4635980225.697147,0.01992689711344707
C2_CI_TIPO_IMPIANTO_1,OneHot,2270992451.101735,0.01973238361084701
C2_CLIMATIZZAZIONE_ESTIVA,OneHot,848800723.5784628,0.0193313052973714
C2_CI_VETTORE_ENERGETICO_1,OneHot,1931194909.2444324,0.018840235067143146
C2_CE_VETTORE_ENERGETICO_1,OneHot,,0.01838468633485432
C2_CE_TIPO_IMPIANTO_1,OneHot,,0.01838468633485432
C2_CLASSIFICAZIONE_DPR,OneHot,1049522851.172017,0.01647067864790045
C2_PE,OneHot,258226944.0231622,0.01626837200009581
C2_OGGETTO_ALTRO,OneHot,246627854.89790788,0.015742122050410874
C2_RIQUALIFICAZIONE_ENERGETICA,OneHot,1703730212.631238,0.015392844429472545
C2_PROD_ACQUA_CALDA_SANITARIA,OneHot,971714585.6510814,0.014994477762089188
C2_PFR_TIPO_IMPIANTO_1,OneHot,16029199813.60891,0.014929642940232937
C2_TRASPORTO_PERSONE_COSE,OneHot,6758245659.785728,0.014917060665868506
C2_NON_RESIDENZIALE,OneHot,410126806.7237876,0.014893503279599575
C2_RESIDENZIALE,OneHot,410126806.7237876,0.014893503279599575
C2_LOCAZIONE,OneHot,299221360.7946266,0.014820695041580489
C2_PROPRIETA_PUBBLICA,OneHot,,0.01425758632086399
C2_COMUNE_CATASTALE,OneHot,,0.01425758632086399
C2_ZONA_CLIMATICA,OneHot,,0.01425758632086399
C2_REGIONE,OneHot,,0.01425758632086399
C2_USO_PUBBLICO,OneHot,,0.01425758632086399
C2_CLIMATIZZAZIONE_INVERNALE,OneHot,,0.01425758632086399
C2_OGGETTO_ALTRO_TXT,OneHot,9849456612.97354,0.014132496460594814
C2_RIQ_CLASSE_RAGG,OneHot,6714351278.389652,0.013221675528395338
C2_VETTORE_ENERGETICO,OneHot,,0.011773070815401302
C1_NUMERO_RICAMBI_ORARI,Target,3308736814.946716,0.011625921996156047
OV_ValoreLocazioneSup_normale,OneHot,12865218.625732757,0.010310394989375748
C2_PFR_VETTORE_ENERGETICO_1,OneHot,4441507791.465419,0.009585266470889343
OV_Stato_normale,OneHot,,0.009495089932868248
OV_ValoreMercatoSup_normale,OneHot,,0.009495089932868248
A_Semestre,OneHot,95190993.43882991,0.0085656578407249
C1_CLASSE_ENERGETICA,OneHot,790132444.8553758,0.008098974229199207
A_VenditoriEredita,OneHot,144764032.7496235,0.007987823096430459
C1_MOTIVAZIONE_APE,OneHot,1697507609.371732,0.007927066483668725
C2_CI_VETTORE_ENERGETICO_2,OneHot,3488176613.1073394,0.007910928137284348
C2_CI_TIPO_IMPIANTO_2,OneHot,3488176613.1073394,0.007910928137284348
C2_PFR_VETTORE_ENERGETICO_2,OneHot,11472770542.075851,0.007741502403487495
C2_PFR_TIPO_IMPIANTO_2,OneHot,11472770542.075851,0.007741502403487495
C1_TIPOLOGIA_VENTILAZIONE,OneHot,4390210053.347194,0.006504901657881735
C1_DATA_CHIUSURA_PRATICA,OneHot,277587155.4884943,0.005963215449788924
C1_TIPOLOGIA_COMBUSTIBILE,OneHot,1529158778.2280157,0.005137913119627587
OV_IdZona_scadente,OneHot,86630013.80559768,0.005097249837928113
OV_Id_scadente,OneHot,86630013.80559768,0.005097249837928112
C1_DESTINAZIONE_DI_USO,OneHot,764975223.0437889,0.0048535538682786495
C1_EDIFICIO_PUBBLICO,OneHot,,0.004658563812504367
C1_PROVINCIA,OneHot,,0.004658563812504367
C1_COMUNE,OneHot,,0.004658563812504367
OV_Stato_scadente,OneHot,,0.004628471122905347
OV_ValoreMercatoSup_scadente,OneHot,,0.004628471122905347
OV_IdTipologiaEdilizia_scadente,OneHot,,0.004628471122905347
C2_FL_COMPORTA_RISTRUT_1,OneHot,1241970.94993418,0.0031271335475900035
C2_DS_TIPO_INTERVENTO_1,OneHot,,0.0031248681950072407
C2_FL_COMPORTA_RISTRUT_7,OneHot,132472591.5249694,0.0026048102312949107
C2_DS_TIPO_INTERVENTO_7,OneHot,,0.0025301779304300683
C2_FL_COMPORTA_RISTRUT_2,OneHot,1843456911.1652477,0.0018894065722536498
C2_DS_TIPO_INTERVENTO_2,OneHot,,0.0017104745656672908
C1_SUP_PAN_ST_SUP_UTILE,OneHot,8947524016.672026,0.001142670005696421
C1_SUPERFICIE_APERTURA_ST,OneHot,8947524016.672028,0.001142670005696421
C2_FL_COMPORTA_RISTRUT_3,OneHot,,0.0011158945505902345
C2_DS_TIPO_INTERVENTO_3,OneHot,,0.0011158945505902345
C2_TPC_TIPO_IMPIANTO_1,OneHot,,0.001104962564590734
AI_ConsistenzaUm,OneHot,187827463.91457248,0.00036563023080792223
C2_CI_CODICE_CATASTO_1,OneHot,1004268928.2410313,0.00031318732369426864
A_IdTipoConsistenza,OneHot,81562223.41250114,0.00029206581348508094
C1_TIPOLOGIA_PANNELLO_ST,OneHot,589032447.7253478,9.935774729967789e-05
C2_CE_VETTORE_ENERGETICO_2,OneHot,,3.3748005974157e-05
C2_CE_TIPO_IMPIANTO_2,OneHot,,3.3748005974157e-05
C1_SUPERFICIE_CAPTANTE_FV,OneHot,,1.4760677405921258e-05
C1_SUP_PAN_FV_SUP_UTILE,OneHot,,1.4760677405921258e-05
C1_TIPOLOGIA_PANNELLO_FV,OneHot,,1.4760677405921258e-05
C2_FL_COMPORTA_RISTRUT_5,OneHot,,1.1535679516867579e-07
C2_DS_TIPO_INTERVENTO_5,OneHot,,1.1535679516867579e-07
A_IdConservatoria,OneHot,,3.1391509080168675e-32
II_CODCOM,OneHot,,3.1391509080168675e-32
II_COM_ASC1,OneHot,,3.1391509080168675e-32
II_PROCOM,OneHot,,3.1391509080168675e-32
II_PROVINCIA,OneHot,,3.1391509080168675e-32
II_CODREG,OneHot,,3.1391509080168675e-32
II_REGIONE,OneHot,,3.1391509080168675e-32
AI_IdComune,OneHot,,3.1391509080168675e-32
II_CODPRO,OneHot,,3.1391509080168675e-32
PC_Sezione,OneHot,,3.1391509080168675e-32
AI_VisuraParseMutazioniSoggettiveErrore,OneHot,,0.0
AI_SezioneAmministrativa,OneHot,,0.0
AI_VisuraErrore,OneHot,,0.0
C2_SEZIONE,OneHot,,0.0
C1_SEZIONE,OneHot,,0.0
C2_DS_TIPO_INTERVENTO_4,OneHot,,0.0
C2_FL_COMPORTA_RISTRUT_4,OneHot,,0.0
