Feature,Strategy,Train_Unique,Test_Unique,Unseen,Unseen_Pct
AI_Id,Frequency,2420,606,606,100.0
C2_IdAttoImmobile,Frequency,198,48,48,100.0
C1_IdAttoImmobile,Frequency,79,21,21,100.0
C2_Y,Frequency,192,43,42,97.67441860465115
C1_CODICE_IDENTIFICATIVO_PRATICA,Frequency,74,21,20,95.23809523809523
C2_INDIRIZZO,Frequency,178,47,43,91.48936170212765
C2_NM_EP_GL_NREN_RAGGIUNG_7,Frequency,116,23,21,91.30434782608695
C1_INDIRIZZO,Frequency,66,21,17,80.95238095238095
C1_PARTICELLA,Frequency,60,20,14,70.0
C1_POTENZA_GENERATORE,Frequency,58,21,14,66.66666666666666
C1_TIPOLOGIA_COMBUSTIBILE,OneHot,4,4,2,50.0
C1_SUBALTERNO,Frequency,50,18,9,50.0
AI_Piano,Frequency,60,37,17,45.94594594594595
A_Codice,Frequency,320,107,44,41.1214953271028
C1_NUMERO_RICAMBI_ORARI,Target,10,5,2,40.0
AI_Posizione,Frequency,1091,437,120,27.45995423340961
C2_PA_VETTORE_ENERGETICO,OneHot,3,4,1,25.0
C2_SUBALTERNO,Frequency,78,32,8,25.0
PC_Isodistanza,Frequency,925,404,97,24.00990099009901
PC_BoundingBox,Frequency,925,404,97,24.00990099009901
PC_PoligonoMetrico,Frequency,925,404,97,24.00990099009901
PC_PuntoInterno,Frequency,925,404,97,24.00990099009901
PC_PoligonoGeoJson,Frequency,925,404,97,24.00990099009901
PC_Poligono,Frequency,925,404,97,24.00990099009901
PC_Centroide,Frequency,925,404,97,24.00990099009901
C2_PIANO,Target,28,14,3,21.428571428571427
C2_ANNO_COSTRUZIONE,Target,35,17,3,17.647058823529413
AI_Subalterno,Frequency,128,59,9,15.254237288135593
C1_MOTIVAZIONE_APE,OneHot,8,7,1,14.285714285714285
AI_Civico,Frequency,184,104,12,11.538461538461538
C1_ANNO_COSTRUZIONE,Target,17,9,1,11.11111111111111
AI_Via,Frequency,541,295,30,10.16949152542373
AI_Particella,Frequency,535,313,28,8.945686900958465
AI_ParticellaAttuale,Frequency,533,313,28,8.945686900958465
C1_FOGLIO,Target,31,17,1,5.88235294117647
C2_FOGLIO,Target,35,22,1,4.545454545454546
II_Id,Frequency,302,211,9,4.265402843601896
ISC_Geometry,Frequency,302,211,9,4.265402843601896
OV_IdZona_ottimo,Target,44,31,1,3.225806451612903
OV_Id_ottimo,Frequency,50,36,1,2.7777777777777777
AI_Foglio,Target,46,40,1,2.5
PC_FoglioAgenzia,Target,46,40,1,2.5
OV_Id_normale,Frequency,224,146,2,1.36986301369863
II_PROVINCIA,OneHot,1,1,0,0.0
II_CODPRO,OneHot,1,1,0,0.0
II_REGIONE,OneHot,1,1,0,0.0
II_CODREG,OneHot,1,1,0,0.0
A_Semestre,OneHot,7,7,0,0.0
A_IdConservatoria,OneHot,1,1,0,0.0
A_IdTipoConsistenza,OneHot,2,2,0,0.0
A_VenditoriEredita,OneHot,2,2,0,0.0
AI_IdTipologiaEdiliziaAlternativa,OneHot,1,1,0,0.0
AI_VisuraParseMutazioniSoggettiveErrore,OneHot,0,0,0,0.0
AI_VisuraErrore,OneHot,0,0,0,0.0
AI_IdTipologiaEdilizia,OneHot,6,6,0,0.0
AI_ZonaOmi,OneHot,9,9,0,0.0
AI_ConsistenzaUm,OneHot,2,2,0,0.0
A_IdDecodificaAtto,OneHot,7,6,0,0.0
A_IdTipologiaAtto,OneHot,5,4,0,0.0
AI_IdComune,OneHot,1,1,0,0.0
AI_IdCategoriaCatastale,OneHot,8,8,0,0.0
AI_IdSettoreMercato,OneHot,3,3,0,0.0
AI_SezioneAmministrativa,OneHot,0,0,0,0.0
OZ_CodiceZona,OneHot,9,9,0,0.0
PC_Sezione,OneHot,1,1,0,0.0
OV_ValoreMercatoSup_scadente,OneHot,1,1,0,0.0
OV_ValoreLocazioneSup_normale,OneHot,2,2,0,0.0
OV_ValoreLocazioneSup_ottimo,OneHot,2,2,0,0.0
OZ_Id,Frequency,61,56,0,0.0
OZ_LinkZona,OneHot,9,9,0,0.0
OZ_Zona,OneHot,9,9,0,0.0
OV_ValoreMercatoSup_ottimo,OneHot,1,1,0,0.0
OV_ValoreMercatoSup_normale,OneHot,1,1,0,0.0
OV_IdTipologiaEdilizia_normale,OneHot,5,5,0,0.0
OV_IdTipologiaEdilizia_ottimo,OneHot,2,2,0,0.0
OV_IdTipologiaEdilizia_scadente,OneHot,1,1,0,0.0
C1_COMUNE,OneHot,1,1,0,0.0
C1_PROVINCIA,OneHot,1,1,0,0.0
C1_DATA_CHIUSURA_PRATICA,OneHot,6,6,0,0.0
C1_CLASSE_ENERGETICA,OneHot,7,5,0,0.0
C1_DESTINAZIONE_DI_USO,OneHot,3,2,0,0.0
C1_EDIFICIO_PUBBLICO,OneHot,1,1,0,0.0
C1_SEZIONE,OneHot,0,0,0,0.0
C1_SUPERFICIE_CAPTANTE_FV,OneHot,1,0,0,0.0
C1_TIPOLOGIA_VENTILAZIONE,OneHot,7,2,0,0.0
C1_TIPOLOGIA_PANNELLO_ST,OneHot,2,0,0,0.0
OV_Stato_normale,OneHot,1,1,0,0.0
OV_Stato_scadente,OneHot,1,1,0,0.0
OV_Stato_ottimo,OneHot,1,1,0,0.0
OV_IdZona_normale,Frequency,61,55,0,0.0
OV_IdZona_scadente,OneHot,7,6,0,0.0
II_COM_ASC1,OneHot,1,1,0,0.0
II_PROCOM,OneHot,1,1,0,0.0
OV_Id_scadente,OneHot,7,6,0,0.0
II_CODCOM,OneHot,1,1,0,0.0
C2_SEZIONE,OneHot,0,0,0,0.0
C2_COMUNE_CATASTALE,OneHot,1,1,0,0.0
C2_NON_RESIDENZIALE,OneHot,2,2,0,0.0
C2_RESIDENZIALE,OneHot,2,2,0,0.0
C1_TIPOLOGIA_GENERATORE,Target,17,10,0,0.0
C1_SUPERFICIE_APERTURA_ST,OneHot,3,0,0,0.0
C1_SUP_PAN_FV_SUP_UTILE,OneHot,1,0,0,0.0
C1_SUP_PAN_ST_SUP_UTILE,OneHot,3,0,0,0.0
C1_TIPOLOGIA_PANNELLO_FV,OneHot,1,0,0,0.0
C2_NUOVA_COSTRUZIONE,OneHot,2,1,0,0.0
C2_RISTRUTTURAZIONE_IMPORTANTE,OneHot,2,2,0,0.0
C2_LOCAZIONE,OneHot,2,2,0,0.0
C2_RIQUALIFICAZIONE_ENERGETICA,OneHot,2,2,0,0.0
C2_PASSAGGIO_PROPRIETA,OneHot,2,2,0,0.0
C2_CLASSIFICAZIONE_DPR,OneHot,5,3,0,0.0
C2_PROPRIETA_PUBBLICA,OneHot,1,1,0,0.0
C2_REGIONE,OneHot,1,1,0,0.0
C2_OGGETTO_ALTRO_TXT,OneHot,3,1,0,0.0
C2_OGGETTO_ALTRO,OneHot,2,2,0,0.0
C2_ZONA_CLIMATICA,OneHot,1,1,0,0.0
C2_CLIMATIZZAZIONE_ESTIVA,OneHot,2,2,0,0.0
C2_VENTILAZIONE_MECCANICA,OneHot,2,1,0,0.0
C2_PROD_ACQUA_CALDA_SANITARIA,OneHot,2,2,0,0.0
C2_CLIMATIZZAZIONE_INVERNALE,OneHot,1,1,0,0.0
C2_TRASPORTO_PERSONE_COSE,OneHot,2,1,0,0.0
C2_PI,OneHot,3,3,0,0.0
C2_PE,OneHot,3,3,0,0.0
C2_CLASSE_ENERGETICA,OneHot,9,8,0,0.0
C2_RIQ_CLASSE_RAGG,OneHot,10,7,0,0.0
C2_INTERO_EDIFICIO,OneHot,2,2,0,0.0
C2_UNITA_IMMOBILIARE,OneHot,2,2,0,0.0
C2_USO_PUBBLICO,OneHot,1,1,0,0.0
C2_DS_TIPO_INTERVENTO_2,OneHot,1,1,0,0.0
C2_FL_COMPORTA_RISTRUT_1,OneHot,2,2,0,0.0
C2_DS_TIPO_INTERVENTO_1,OneHot,1,1,0,0.0
C2_FL_COMPORTA_RISTRUT_2,OneHot,2,1,0,0.0
C2_FL_COMPORTA_RISTRUT_4,OneHot,0,0,0,0.0
C2_DS_TIPO_INTERVENTO_5,OneHot,1,0,0,0.0
C2_FL_COMPORTA_RISTRUT_3,OneHot,1,1,0,0.0
C2_DS_TIPO_INTERVENTO_3,OneHot,1,1,0,0.0
C2_DS_TIPO_INTERVENTO_6,OneHot,1,1,0,0.0
C2_FL_COMPORTA_RISTRUT_6,OneHot,1,1,0,0.0
C2_DS_TIPO_INTERVENTO_7,OneHot,1,1,0,0.0
C2_FL_COMPORTA_RISTRUT_7,OneHot,2,2,0,0.0
C2_VETTORE_ENERGETICO,OneHot,1,0,0,0.0
C2_CI_TIPO_IMPIANTO_1,OneHot,6,4,0,0.0
C2_FL_COMPORTA_RISTRUT_5,OneHot,1,0,0,0.0
C2_DS_TIPO_INTERVENTO_4,OneHot,0,0,0,0.0
C2_CI_VETTORE_ENERGETICO_1,OneHot,4,4,0,0.0
C2_CI_CODICE_CATASTO_1,OneHot,7,0,0,0.0
C2_CE_TIPO_IMPIANTO_1,OneHot,1,1,0,0.0
C2_CI_TIPO_IMPIANTO_2,OneHot,4,1,0,0.0
C2_CE_VETTORE_ENERGETICO_1,OneHot,1,1,0,0.0
C2_CE_TIPO_IMPIANTO_2,OneHot,1,1,0,0.0
C2_CE_VETTORE_ENERGETICO_2,OneHot,1,1,0,0.0
C2_CI_VETTORE_ENERGETICO_2,OneHot,4,1,0,0.0
C2_PA_TIPO_IMPIANTO,OneHot,6,4,0,0.0
C2_PFR_TIPO_IMPIANTO_1,OneHot,3,1,0,0.0
C2_PFR_TIPO_IMPIANTO_2,OneHot,2,0,0,0.0
C2_PFR_VETTORE_ENERGETICO_1,OneHot,2,1,0,0.0
C2_PFR_VETTORE_ENERGETICO_2,OneHot,2,0,0,0.0
C2_TPC_TIPO_IMPIANTO_1,OneHot,1,0,0,0.0
C2_TITOLO_CERT,OneHot,8,8,0,0.0
C2_ORDINE_CERT,OneHot,6,6,0,0.0
